kaggle_dataset_names,kaggle_dataset,gcs_path
shonenkov/jigsaw-public-baseline-train-data,jigsaw-public-baseline-train-data,gs://kds-4e0d249e5e268ee97aa83d66328bf9e1e0c0c0c9ce1777dfddabfd0b
shonenkov/kdold-deepfake-effb2,kdold-deepfake-effb2,gs://kds-97fa84d58424ee35cc5153f90823ca723665b576d57251cb77715675
shonenkov/kfolddeepfakeeffb2-flip,kfolddeepfakeeffb2-flip,gs://kds-b95984a05dd4969d6f571b5bb2c0a0273c4238e1c0b230b99b3e3888
shonenkov/melanoma-image-embeddings,melanoma-image-embeddings,gs://kds-64f1c794ebcffb7860dd91811eff547e63eb5827b2fa6eb22a455a26
shonenkov/melanoma-merged-external-data-512x512-jpeg,melanoma-merged-external-data-512x512-jpeg,gs://kds-d755160b932a39260e10e74ab8795d927cf0e4bda39eef39f967a446
shonenkov/melanoma-public-checkpoints,melanoma-public-checkpoints,gs://kds-fe3ab955a6636e3ff04f940b484521a97668197a98ea562c7a188ae7
shonenkov/multitpu-inference,multitpu-inference,gs://kds-dca4c2d578fd2896fa26f4b1d75e40f9a01719dfc49551f5679d8c3d
shonenkov/omegaconf,omegaconf,gs://kds-447824ceb95d2abc0e4921e1456d99913256270fa4c7638fd0529f50
shonenkov/open-subtitles-toxic-pseudo-labeling,open-subtitles-toxic-pseudo-labeling,gs://kds-50424ab75b8ccd757f27a9cdbf87100cdddf424f9823b01823b8d384
shonenkov/pretrained-jasper10x5dr-nomask,pretrained-jasper10x5dr-nomask,gs://kds-9cdb96cc24f4df04d18f79fa1c447113c1cf5bb58a04ea2a5bc6cb10
shonenkov/pytorchefficientnet,pytorchefficientnet,gs://kds-b254f7c18ae182de61e66216ac456afa796e7421a87d6069ed195cba
shonenkov/russian-numbers-asr,russian-numbers-asr,gs://kds-56aaca6d3fe924fc0fde66764302532dbb76abc91929af002b35c7ea
shonenkov/siimisic-melanoma-classification-npy-224-cv2,siimisic-melanoma-classification-npy-224-cv2,gs://kds-5b4d8bdc0b9eebfc283dc456e5983744b8682e9d5415739aab0414bf
shonenkov/timm-efficientdet-pytorch,timm-efficientdet-pytorch,gs://kds-3bfa45c46983ae63011476e78612ca27d6c436736e282f30c3071048
shonenkov/weightedboxesfusion,weightedboxesfusion,gs://kds-bc90d65935377fcceee923ebb08238ffa44c1892fe386de4fcb5d497
shonenkov/wheat-effdet5-fold0-best-checkpoint,wheat-effdet5-fold0-best-checkpoint,gs://kds-3db8dd3880d6e924e3d3cf93e2e3f43a28476964011f5e820274e279
shonenkov/wheat-fasterrcnn-folds,wheat-fasterrcnn-folds,gs://kds-ff174091c75894e7a3a2d466e401674c7cfb0a53ff38bb84a6fa55ec
shonenkov/yetanotherefficientdetpytorch,yetanotherefficientdetpytorch,gs://kds-a7199e71d17a5c3382c198c60bd84e9eb1de06ea46334476be5124be
tt195361/384x384-melanoma-tfrecords-70k-images,384x384-melanoma-tfrecords-70k-images,gs://kds-c35196094e7de516f860d80038a53ea11c51dffb267f29b9870f48bb
tt195361/bengaliaicv19data,bengaliaicv19data,gs://kds-fba0c37be0dc2247f1e11832f5322ab7a32f7795d0fb63dd6598e4ce
graf10a/factorial-hmm,factorial-hmm,gs://kds-3c7c7cdd650c915f25b2d1f77232c99e23c0432f7a07c7a32ab810a1
graf10a/isic-2019,isic-2019,gs://kds-f3c0af210570805156654013ea15b50acc7f32d0e81c0b2da7509f5f
graf10a/siim-512x512-tfrec-q95,siim-512x512-tfrec-q95,gs://kds-cf97595aa8edf68d526e06cba9e93923a24d20742150a0bdf3f10f64
graf10a/siim-512x512-tfrec-q95-test,siim-512x512-tfrec-q95-test,gs://kds-4b4016d302d8240715c84c06a9beecaccacc1fcea5441af592798f99
graf10a/siim-benchmark-submission,siim-benchmark-submission,gs://kds-51c0fa39fcd27a5d8a5d8eacd7f6002ee39f404863ae6ad0a821892d
graf10a/siim-external-data-isic-2019-tfrec-512,siim-external-data-isic-2019-tfrec-512,gs://kds-80cc42fa1d14dfd98a7172004187dd1d8c06eb17071d36ec872431af
graf10a/siim-jpegs-512-extra-malignant,siim-jpegs-512-extra-malignant,gs://kds-70063b654c0722deb8463863b65da1efdd21a33088383b2a7d741e00
graf10a/siim-list-of-duplicates,siim-list-of-duplicates,gs://kds-b9d2adf99fcf6803d79e986794620ea154794b381348a364fdcc0e85
graf10a/siim-png-cc-tfrecords-512-extra-malignant,siim-png-cc-tfrecords-512-extra-malignant,gs://kds-a933b89114e5b188fb05377575b65a8c3cefe4c1ccd66090cee8694b
graf10a/siim-png-cc-tfrecords-512-isic-2019-old,siim-png-cc-tfrecords-512-isic-2019-old,gs://kds-924d6b9eb9736a986ac57f927c406d1ba9a5466393d73ef2561d78e7
graf10a/siim-png-cc-tfrecords-512-test,siim-png-cc-tfrecords-512-test,gs://kds-1c5d263a2719a1c4cfa26c9e88539da850addf06ce66f4bae97200aa
graf10a/siim-png-cc-tfrecords-512-train,siim-png-cc-tfrecords-512-train,gs://kds-ab1a5050f96732c24e72191de12b9cd2c186025323e698e3ecaffab9
graf10a/siim-png-tfrecords-512-extra-malignant,siim-png-tfrecords-512-extra-malignant,gs://kds-20be3d581748af9fef35961b9801afaf826594ae493313d48a5e9928
