kaggle_dataset_names,gcs_path,kaggle_dataset
graf10a/siim-512x512-tfrec-q95,gs://kds-cf97595aa8edf68d526e06cba9e93923a24d20742150a0bdf3f10f64,siim-512x512-tfrec-q95
graf10a/siim-benchmark-submission,gs://kds-51c0fa39fcd27a5d8a5d8eacd7f6002ee39f404863ae6ad0a821892d,siim-benchmark-submission
graf10a/siim-external-data-isic-2019-tfrec-512,gs://kds-3b9dd7203de4a0e0baea0ad6a0813a055ba971578374cebea25f4dbd,siim-external-data-isic-2019-tfrec-512
graf10a/siim-list-of-duplicates,gs://kds-b9d2adf99fcf6803d79e986794620ea154794b381348a364fdcc0e85,siim-list-of-duplicates
graf10a/siim-png-tfrecords-224-train,gs://kds-3aeb3531cb0dec68bf9ea4fd0f034eda5f04dfcb116e5ab5327f4636,siim-png-tfrecords-224-train
graf10a/siim-png-tfrecords-512-test,gs://kds-6c9f9a52f60792f6dee35829356c3595b27cdfd9a0a6797fb1f89d81,siim-png-tfrecords-512-test
graf10a/siim-png-tfrecords-224-test,gs://kds-f5d7e3053b5395e04aa5cd36885b584d8347d3aec48cd29516c95476,siim-png-tfrecords-224-test
graf10a/siim-tfrec-cc-512-test,gs://kds-aa6ed4c5c4040e85d45fc0284cd3fde28eb347695b4aa0b69682776b,siim-tfrec-cc-512-test
graf10a/siim-png-cc-tfrecords-512-train,gs://kds-ab1a5050f96732c24e72191de12b9cd2c186025323e698e3ecaffab9,siim-png-cc-tfrecords-512-train
graf10a/siim-png-cc-tfrecords-512-test,gs://kds-1c5d263a2719a1c4cfa26c9e88539da850addf06ce66f4bae97200aa,siim-png-cc-tfrecords-512-test
graf10a/siim-png-cc-tfrecords-512-isic-2019-old,gs://kds-924d6b9eb9736a986ac57f927c406d1ba9a5466393d73ef2561d78e7,siim-png-cc-tfrecords-512-isic-2019-old
graf10a/siim-png-cc-tfrecords-512-isic-2019-new,gs://kds-3e11227d0ab1e644a135643b262add4af38ee99e2b4c4ba680882b77,siim-png-cc-tfrecords-512-isic-2019-new
graf10a/siim-png-tfrecords-512-isic-2019-new,gs://kds-2217254ae36e2c8530157b74cc38e7dd9ffd60a4a244d53bdfc709c7,siim-png-tfrecords-512-isic-2019-new
graf10a/siim-png-tfrecords-512-isic-2019-old,gs://kds-6a9fa2e1b90cbc28cb426062759967f817a5dd562e3483384f8e9a68,siim-png-tfrecords-512-isic-2019-old
